Calendario FANTA LEGA-CULO 8.0;;;;;;;;;;
1ª Giornata lega;;3ª Giornata serie a;;;;;;;;
ALNITAKERS;80,5;74;CM MINNESOTA;3-2;;;;;;
TURKISH PIZZA&KEBAB DI USLU ISMAIL;71;69,5;I FANALINI;1-1;;;;;;
PINK PANTHER;66;61;OTTAVO;1-0;;;;;;
KAPADOKYA  FC;76,5;73,5;NIENTE MALE;2-2;;;;;;
25ª Giornata lega;;27ª Giornata serie a;;;;;;;;
NIENTE MALE;68,5;68;I FANALINI;1-1;;;;;;
OTTAVO;69;69,5;ALNITAKERS;1-1;;;;;;
GORGEOUS FC;82,5;79,5;KAPADOKYA  FC;3-3;;;;;;
CM MINNESOTA;71,5;72,5;FININVEST FC;1-2;;;;;;
PINK PANTHER;78,5;64;TURKISH PIZZA&KEBAB DI USLU ISMAIL;3-0;;;;;;
26ª Giornata lega;;28ª Giornata serie a;;;;;;;;
NIENTE MALE;63,5;73;TURKISH PIZZA&KEBAB DI USLU ISMAIL;0-2;;;;;;
I FANALINI;65,5;75,5;GORGEOUS FC;0-2;;;;;;
FININVEST FC;61,5;73;OTTAVO;0-2;;;;;;
ALNITAKERS;69,5;67,5;PINK PANTHER;1-1;;;;;;
KAPADOKYA  FC;76,5;65,5;CM MINNESOTA;2-0;;;;;;
27ª Giornata lega;;29ª Giornata serie a;;;;;;;;
OTTAVO;71,5;77;KAPADOKYA  FC;1-2;;;;;;
GORGEOUS FC;64,5;75,5;NIENTE MALE;0-2;;;;;;
TURKISH PIZZA&KEBAB DI USLU ISMAIL;74,5;63,5;ALNITAKERS;2-0;;;;;;
CM MINNESOTA;70,5;54,5;I FANALINI;1-0;;;;;;
PINK PANTHER;78;65,5;FININVEST FC;3-0;;;;;;
28ª Giornata lega;;30ª Giornata serie a;;;;;;;;
CM MINNESOTA;80;75;NIENTE MALE;3-2;;;;;;
OTTAVO;88,5;66;I FANALINI;4-1;;;;;;
TURKISH PIZZA&KEBAB DI USLU ISMAIL;67,5;67;GORGEOUS FC;1-1;;;;;;
ALNITAKERS;74,5;67,5;FININVEST FC;2-1;;;;;;
PINK PANTHER;66,5;71;KAPADOKYA  FC;1-1;;;;;;
29ª Giornata lega;;31ª Giornata serie a;;;;;;;;
NIENTE MALE;56;76;OTTAVO;0-2;;;;;;
KAPADOKYA  FC;75,5;74,5;ALNITAKERS;2-2;;;;;;
FININVEST FC;74,5;81,5;TURKISH PIZZA&KEBAB DI USLU ISMAIL;2-3;;;;;;
GORGEOUS FC;78,5;74,5;CM MINNESOTA;3-2;;;;;;
I FANALINI;63,5;84,5;PINK PANTHER;0-4;;;;;;
30ª Giornata lega;;32ª Giornata serie a;;;;;;;;
PINK PANTHER;70,5;63,5;NIENTE MALE;1-0;;;;;;
ALNITAKERS;74;71,5;I FANALINI;2-1;;;;;;
OTTAVO;72,5;68,5;GORGEOUS FC;2-1;;;;;;
TURKISH PIZZA&KEBAB DI USLU ISMAIL;79;73,5;CM MINNESOTA;3-2;;;;;;
FININVEST FC;79;73;KAPADOKYA  FC;3-2;;;;;;
31ª Giornata lega;;33ª Giornata serie a;;;;;;;;
CM MINNESOTA;77,5;65;OTTAVO;2-0;;;;;;
I FANALINI;78,5;63;FININVEST FC;3-0;;;;;;
NIENTE MALE;69,5;67,5;ALNITAKERS;1-1;;;;;;
KAPADOKYA  FC;70;63;TURKISH PIZZA&KEBAB DI USLU ISMAIL;1-0;;;;;;
GORGEOUS FC;71,5;67,5;PINK PANTHER;1-1;;;;;;
32ª Giornata lega;;34ª Giornata serie a;;;;;;;;
FININVEST FC;83;71,5;NIENTE MALE;3-1;;;;;;
KAPADOKYA  FC;69;65,5;I FANALINI;1-0;;;;;;
TURKISH PIZZA&KEBAB DI USLU ISMAIL;63;75,5;OTTAVO;0-2;;;;;;
ALNITAKERS;62;79,5;GORGEOUS FC;0-3;;;;;;
PINK PANTHER;76,5;73,5;CM MINNESOTA;2-2;;;;;;
33ª Giornata lega;;35ª Giornata serie a;;;;;;;;
GORGEOUS FC;75;74,5;FININVEST FC;2-2;;;;;;
CM MINNESOTA;65;75,5;ALNITAKERS;0-2;;;;;;
I FANALINI;75,5;70;TURKISH PIZZA&KEBAB DI USLU ISMAIL;2-1;;;;;;
OTTAVO;59;67;PINK PANTHER;0-1;;;;;;
NIENTE MALE;68;74,5;KAPADOKYA  FC;1-2;;;;;;
34ª Giornata lega;;36ª Giornata serie a;;;;;;;;
I FANALINI;75,5;63,5;NIENTE MALE;2-0;;;;;;
ALNITAKERS;71,5;86,5;OTTAVO;1-4;;;;;;
KAPADOKYA  FC;75,5;66;GORGEOUS FC;2-1;;;;;;
FININVEST FC;71;59,5;CM MINNESOTA;1-0;;;;;;
TURKISH PIZZA&KEBAB DI USLU ISMAIL;70;79;PINK PANTHER;1-3;;;;;;
35ª Giornata lega;;37ª Giornata serie a;;;;;;;;
TURKISH PIZZA&KEBAB DI USLU ISMAIL;68;65;NIENTE MALE;1-0;;;;;;
GORGEOUS FC;72;81;I FANALINI;2-3;;;;;;
OTTAVO;68;63;FININVEST FC;1-0;;;;;;
PINK PANTHER;74;78,5;ALNITAKERS;2-3;;;;;;
CM MINNESOTA;73;68;KAPADOKYA  FC;2-1;;;;;;
36ª Giornata lega;;38ª Giornata serie a;;;;;;;;
KAPADOKYA  FC;65;73,5;OTTAVO;0-2;;;;;;
NIENTE MALE;79;79;GORGEOUS FC;3-3;;;;;;
ALNITAKERS;57;70;TURKISH PIZZA&KEBAB DI USLU ISMAIL;0-1;;;;;;
I FANALINI;22,5;61;CM MINNESOTA;0-0;;;;;;
FININVEST FC;73,5;80;PINK PANTHER;2-3;;;;;;
